Crime_ID,Crime_Type,Location,Date,Time,Status,Victim_Age,Victim_Gender,Suspect_Age,Suspect_Gender,Year,Month
CR02848,Cybercrime,Rohini,2021-04-13,14:43,Closed,48,Other,38,Female,2021,4
CR04076,Kidnapping,Hauz Khas,2023-03-26,20:07,Under Investigation,26,Male,36,Male,2023,3
CR07791,Murder,Lajpat Nagar,2020-11-30,05:56,Under Investigation,22,Other,74,Female,2020,11
CR09455,Kidnapping,Rohini,2021-12-08,11:49,Under Investigation,27,Female,58,Male,2021,12
CR08288,Domestic Violence,Saket,2021-06-25,19:22,Closed,41,Other,19,Male,2021,6
CR07769,Murder,Saket,2022-08-28,09:04,Under Investigation,15,Female,46,Male,2022,8
CR02859,Cybercrime,Saket,2023-01-31,11:31,Under Investigation,30,Male,37,Female,2023,1
CR02534,Domestic Violence,Lajpat Nagar,2022-08-23,02:53,Reported,48,Male,28,Other,2022,8
CR02903,Robbery,Connaught Place,2020-03-17,09:55,Resolved,41,Male,37,Male,2020,3
CR02737,Assault,Connaught Place,2020-08-03,14:31,Closed,30,Male,18,Female,2020,8
CR04597,Cybercrime,Connaught Place,2023-12-17,14:23,Under Investigation,55,Male,52,Other,2023,12
CR04718,Burglary,Chandni Chowk,2020-10-09,20:30,Closed,74,Other,55,Male,2020,10
CR04248,Burglary,Dwarka,2020-12-25,20:28,Resolved,27,Male,17,Female,2020,12
CR03550,Robbery,Dwarka,2020-07-18,18:37,Closed,39,Female,29,Female,2020,7
CR08768,Theft,Lajpat Nagar,2020-12-14,01:59,Closed,37,Other,28,Other,2020,12
CR01597,Cybercrime,Saket,2020-04-18,22:11,Under Investigation,72,Female,25,Other,2020,4
CR04193,Assault,Dwarka,2023-08-16,22:09,Unresolved,41,Female,24,Female,2023,8
CR09940,Kidnapping,Connaught Place,2021-12-11,01:22,Reported,48,Male,39,Male,2021,12
CR01498,Assault,Connaught Place,2020-06-29,11:54,Resolved,45,Other,41,Male,2020,6
CR05195,Cybercrime,Hauz Khas,2023-08-28,06:33,Unresolved,25,Male,70,Other,2023,8
CR00582,Theft,Saket,2021-06-07,18:30,Resolved,20,Female,51,Other,2021,6
CR02484,Robbery,Lajpat Nagar,2020-03-07,01:51,Under Investigation,25,Male,70,Female,2020,3
CR09564,Robbery,Vasant Kunj,2020-12-08,21:03,Resolved,23,Male,50,Male,2020,12
CR01981,Assault,Punjabi Bagh,2022-07-16,17:20,Resolved,30,Other,20,Male,2022,7
CR03411,Domestic Violence,Hauz Khas,2022-06-15,13:12,Resolved,33,Other,68,Female,2022,6
CR05181,Robbery,Lajpat Nagar,2023-07-09,20:28,Resolved,50,Other,36,Female,2023,7
CR00795,Kidnapping,Karol Bagh,2021-07-20,10:14,Reported,72,Other,37,Other,2021,7
CR04868,Kidnapping,Hauz Khas,2023-08-20,22:32,Unresolved,20,Other,36,Male,2023,8
CR05076,Theft,Chandni Chowk,2021-11-22,21:11,Unresolved,65,Male,59,Male,2021,11
CR08545,Robbery,Chandni Chowk,2020-08-03,06:19,Reported,22,Female,50,Male,2020,8
CR00533,Burglary,Dwarka,2023-11-03,05:23,Under Investigation,28,Other,23,Female,2023,11
CR08726,Fraud,Chandni Chowk,2021-03-20,08:51,Reported,35,Female,71,Male,2021,3
CR01250,Theft,Connaught Place,2020-11-30,04:24,Unresolved,44,Male,65,Other,2020,11
CR00531,Domestic Violence,Dwarka,2023-12-04,14:25,Resolved,58,Other,40,Other,2023,12
CR00303,Fraud,Connaught Place,2022-05-27,04:12,Under Investigation,40,Other,21,Other,2022,5
CR02085,Robbery,Hauz Khas,2022-02-25,05:05,Resolved,70,Female,59,Other,2022,2
CR00397,Murder,Dwarka,2020-05-29,19:52,Under Investigation,42,Male,43,Female,2020,5
CR02317,Rape,Connaught Place,2022-08-08,12:10,Under Investigation,21,Female,63,Other,2022,8
CR07433,Assault,Connaught Place,2022-03-10,20:07,Under Investigation,72,Male,71,Other,2022,3
CR05128,Robbery,Punjabi Bagh,2021-06-15,20:25,Closed,18,Other,46,Male,2021,6
CR08977,Burglary,Rohini,2021-12-08,11:30,Under Investigation,38,Female,40,Other,2021,12
CR05369,Kidnapping,Connaught Place,2021-07-18,05:31,Resolved,21,Female,52,Female,2021,7
CR03873,Murder,Hauz Khas,2020-12-30,22:16,Closed,59,Male,44,Female,2020,12
CR09572,Burglary,Chandni Chowk,2022-09-23,15:00,Under Investigation,66,Other,44,Female,2022,9
CR03437,Robbery,Karol Bagh,2022-09-23,21:44,Unresolved,61,Female,22,Other,2022,9
CR03111,Rape,Hauz Khas,2022-01-29,04:34,Unresolved,59,Other,61,Male,2022,1
CR04407,Fraud,Vasant Kunj,2021-12-14,16:52,Under Investigation,35,Other,54,Male,2021,12
CR06080,Cybercrime,Saket,2022-10-09,16:50,Reported,57,Other,53,Other,2022,10
CR04598,Murder,Dwarka,2020-02-04,02:08,Reported,27,Other,25,Female,2020,2
CR00518,Burglary,Dwarka,2021-07-29,22:16,Unresolved,44,Male,19,Male,2021,7
CR09771,Assault,Chandni Chowk,2021-02-05,08:51,Reported,74,Male,30,Female,2021,2
CR08367,Robbery,Punjabi Bagh,2021-04-23,14:35,Reported,17,Male,16,Other,2021,4
CR01123,Burglary,Hauz Khas,2022-12-02,04:12,Resolved,45,Other,52,Other,2022,12
CR05011,Assault,Rohini,2023-03-18,13:37,Closed,58,Female,39,Female,2023,3
CR06201,Robbery,Chandni Chowk,2022-12-18,01:32,Reported,53,Male,17,Female,2022,12
CR04459,Kidnapping,Vasant Kunj,2021-01-07,04:51,Unresolved,70,Male,30,Other,2021,1
CR01935,Rape,Connaught Place,2020-05-13,11:11,Unresolved,64,Other,15,Male,2020,5
CR07152,Assault,Hauz Khas,2023-03-05,18:16,Reported,49,Male,42,Female,2023,3
CR05955,Theft,Lajpat Nagar,2023-06-29,06:40,Unresolved,66,Male,37,Male,2023,6
CR01957,Domestic Violence,Karol Bagh,2023-08-18,07:54,Unresolved,66,Other,33,Male,2023,8
CR09246,Rape,Hauz Khas,2022-06-13,10:16,Unresolved,67,Male,29,Male,2022,6
CR08207,Murder,Rohini,2020-12-14,09:37,Closed,64,Other,39,Male,2020,12
CR00543,Domestic Violence,Vasant Kunj,2020-05-28,07:05,Under Investigation,60,Female,70,Male,2020,5
CR07293,Cybercrime,Karol Bagh,2020-10-19,20:50,Resolved,33,Male,51,Other,2020,10
CR07135,Burglary,Punjabi Bagh,2022-07-01,19:23,Reported,35,Other,67,Male,2022,7
CR05514,Rape,Connaught Place,2021-04-29,05:27,Reported,42,Male,20,Other,2021,4
CR05580,Assault,Connaught Place,2022-10-11,20:19,Reported,44,Other,54,Other,2022,10
CR03931,Assault,Punjabi Bagh,2021-08-15,10:40,Reported,62,Female,36,Female,2021,8
CR03032,Rape,Vasant Kunj,2021-12-13,19:02,Reported,30,Other,28,Male,2021,12
CR04630,Theft,Lajpat Nagar,2022-05-15,17:40,Unresolved,17,Female,44,Other,2022,5
CR06717,Kidnapping,Dwarka,2022-10-24,05:48,Reported,66,Other,64,Other,2022,10
CR05683,Kidnapping,Punjabi Bagh,2021-01-26,17:23,Resolved,20,Female,50,Other,2021,1
CR01578,Cybercrime,Saket,2021-03-23,16:53,Under Investigation,73,Male,52,Male,2021,3
CR08379,Theft,Punjabi Bagh,2021-08-06,20:21,Unresolved,27,Female,52,Other,2021,8
CR01512,Murder,Saket,2020-12-26,16:25,Resolved,16,Male,59,Male,2020,12
CR09946,Robbery,Saket,2021-04-21,15:11,Reported,65,Other,64,Other,2021,4
CR09788,Robbery,Vasant Kunj,2020-01-16,11:42,Resolved,72,Male,65,Female,2020,1
CR09283,Robbery,Rohini,2023-10-14,23:05,Unresolved,44,Other,17,Other,2023,10
CR08069,Assault,Vasant Kunj,2020-08-17,02:08,Reported,30,Male,25,Male,2020,8
CR09186,Theft,Lajpat Nagar,2023-01-27,00:32,Resolved,33,Male,70,Other,2023,1
CR08611,Robbery,Punjabi Bagh,2022-07-05,01:40,Reported,42,Other,37,Female,2022,7
CR05577,Burglary,Connaught Place,2022-05-31,08:06,Under Investigation,65,Other,43,Male,2022,5
CR08735,Theft,Chandni Chowk,2023-03-27,04:36,Unresolved,53,Female,39,Other,2023,3
CR09644,Kidnapping,Connaught Place,2022-02-11,14:29,Resolved,17,Other,55,Other,2022,2
CR07962,Theft,Dwarka,2022-05-12,18:10,Closed,66,Male,74,Female,2022,5
CR02935,Rape,Chandni Chowk,2022-09-07,21:46,Unresolved,15,Female,26,Other,2022,9
CR03333,Rape,Punjabi Bagh,2020-03-08,18:33,Resolved,60,Other,54,Male,2020,3
CR07899,Theft,Lajpat Nagar,2023-05-26,16:26,Resolved,62,Other,52,Female,2023,5
CR00346,Burglary,Lajpat Nagar,2022-01-14,14:18,Resolved,72,Female,16,Female,2022,1
CR09587,Assault,Rohini,2021-12-26,01:43,Under Investigation,68,Male,25,Other,2021,12
CR02564,Fraud,Dwarka,2020-10-29,15:34,Unresolved,40,Male,66,Other,2020,10
CR00792,Burglary,Rohini,2023-05-01,23:21,Reported,71,Female,62,Female,2023,5
CR05058,Fraud,Dwarka,2022-08-06,02:17,Resolved,67,Other,43,Other,2022,8
CR01488,Theft,Chandni Chowk,2022-10-24,22:24,Under Investigation,62,Other,19,Female,2022,10
CR05657,Cybercrime,Dwarka,2020-03-06,21:08,Resolved,51,Male,44,Male,2020,3
CR07417,Murder,Karol Bagh,2023-09-20,20:33,Unresolved,70,Male,18,Male,2023,9
CR08663,Cybercrime,Connaught Place,2022-02-01,05:00,Reported,61,Other,33,Female,2022,2
CR02119,Kidnapping,Dwarka,2020-06-01,12:37,Closed,24,Male,69,Other,2020,6
CR07853,Domestic Violence,Vasant Kunj,2023-05-12,06:42,Unresolved,62,Male,71,Other,2023,5
CR01923,Theft,Vasant Kunj,2022-11-07,00:20,Unresolved,46,Other,59,Female,2022,11
CR06948,Theft,Saket,2021-11-19,04:58,Unresolved,17,Male,48,Male,2021,11
CR05079,Fraud,Karol Bagh,2020-11-13,14:26,Unresolved,15,Other,23,Male,2020,11
CR03647,Domestic Violence,Connaught Place,2023-03-11,20:45,Under Investigation,26,Female,24,Other,2023,3
CR02882,Cybercrime,Chandni Chowk,2023-02-18,03:03,Unresolved,41,Male,34,Female,2023,2
CR01891,Murder,Punjabi Bagh,2020-12-17,19:28,Under Investigation,52,Other,70,Female,2020,12
CR01984,Fraud,Chandni Chowk,2023-07-08,03:36,Closed,66,Male,35,Female,2023,7
CR07075,Theft,Lajpat Nagar,2020-09-14,07:25,Resolved,44,Female,71,Other,2020,9
CR03881,Murder,Rohini,2022-03-08,23:35,Under Investigation,65,Male,58,Male,2022,3
CR03482,Theft,Connaught Place,2020-04-21,06:09,Under Investigation,43,Female,34,Other,2020,4
CR04429,Murder,Karol Bagh,2020-01-16,10:46,Reported,35,Other,58,Other,2020,1
CR01022,Robbery,Connaught Place,2023-04-09,10:00,Under Investigation,21,Other,62,Male,2023,4
CR03706,Fraud,Karol Bagh,2020-02-12,19:16,Resolved,22,Other,36,Male,2020,2
CR09590,Burglary,Saket,2023-06-18,15:25,Unresolved,45,Other,69,Female,2023,6
CR09654,Assault,Hauz Khas,2023-07-26,02:39,Reported,52,Male,59,Other,2023,7
CR01807,Domestic Violence,Saket,2022-10-07,22:13,Resolved,19,Male,20,Male,2022,10
CR05211,Domestic Violence,Hauz Khas,2023-09-17,08:44,Reported,41,Female,62,Female,2023,9
CR00439,Rape,Vasant Kunj,2022-04-20,19:44,Reported,60,Female,30,Female,2022,4
CR02614,Murder,Dwarka,2021-08-12,21:58,Resolved,45,Other,59,Other,2021,8
CR06502,Cybercrime,Vasant Kunj,2022-11-01,21:24,Resolved,70,Other,50,Other,2022,11
CR00914,Cybercrime,Rohini,2023-12-11,18:40,Reported,53,Male,34,Other,2023,12
CR03375,Burglary,Chandni Chowk,2021-07-29,15:17,Resolved,23,Male,65,Other,2021,7
CR09954,Robbery,Dwarka,2022-01-03,23:00,Closed,60,Male,35,Male,2022,1
CR06062,Theft,Lajpat Nagar,2022-03-04,18:59,Resolved,24,Other,27,Male,2022,3
CR00360,Robbery,Saket,2020-05-22,06:12,Resolved,56,Other,47,Male,2020,5
CR01964,Assault,Punjabi Bagh,2023-01-01,18:23,Reported,64,Male,59,Male,2023,1
CR07434,Burglary,Rohini,2023-05-08,10:12,Reported,49,Female,30,Female,2023,5
CR02664,Fraud,Chandni Chowk,2022-08-07,09:10,Closed,44,Male,26,Female,2022,8
CR07907,Domestic Violence,Connaught Place,2023-05-12,03:33,Closed,18,Other,21,Male,2023,5
CR07420,Kidnapping,Lajpat Nagar,2023-05-07,20:59,Resolved,41,Female,55,Female,2023,5
CR03206,Theft,Dwarka,2023-08-26,17:24,Closed,74,Other,20,Female,2023,8
CR01084,Rape,Rohini,2022-01-04,13:13,Unresolved,63,Male,72,Other,2022,1
CR09530,Theft,Punjabi Bagh,2021-12-21,00:40,Resolved,73,Female,24,Female,2021,12
CR01669,Assault,Chandni Chowk,2021-01-21,17:00,Unresolved,33,Male,19,Male,2021,1
CR09855,Cybercrime,Rohini,2021-12-30,17:21,Closed,66,Female,51,Other,2021,12
CR04943,Cybercrime,Rohini,2022-12-31,15:35,Closed,72,Other,25,Female,2022,12
CR07072,Murder,Karol Bagh,2020-08-06,16:35,Unresolved,65,Female,15,Male,2020,8
CR08136,Rape,Vasant Kunj,2021-09-12,05:18,Unresolved,16,Other,45,Other,2021,9
CR02417,Robbery,Hauz Khas,2023-12-23,02:22,Under Investigation,34,Male,38,Male,2023,12
CR08176,Robbery,Dwarka,2022-08-17,22:36,Reported,55,Male,43,Male,2022,8
CR08639,Cybercrime,Saket,2022-03-27,05:52,Reported,51,Other,40,Other,2022,3
CR03045,Assault,Dwarka,2020-05-25,00:10,Closed,43,Male,70,Male,2020,5
CR05053,Domestic Violence,Rohini,2023-06-21,03:32,Reported,62,Female,60,Male,2023,6
CR00592,Burglary,Lajpat Nagar,2023-01-08,02:15,Unresolved,54,Male,67,Male,2023,1
CR07302,Kidnapping,Rohini,2023-04-20,18:49,Resolved,37,Female,62,Other,2023,4
CR03798,Cybercrime,Karol Bagh,2022-08-31,14:52,Unresolved,17,Other,15,Other,2022,8
CR00035,Fraud,Hauz Khas,2021-06-11,01:04,Under Investigation,70,Male,25,Other,2021,6
CR05646,Burglary,Karol Bagh,2023-10-25,01:03,Closed,59,Male,44,Other,2023,10
CR00251,Robbery,Vasant Kunj,2022-01-04,20:26,Reported,60,Other,69,Other,2022,1
CR03889,Murder,Vasant Kunj,2020-06-30,12:23,Resolved,32,Male,56,Other,2020,6
CR06955,Fraud,Lajpat Nagar,2022-07-03,19:48,Resolved,74,Other,71,Female,2022,7
CR00483,Cybercrime,Punjabi Bagh,2023-06-27,13:05,Closed,55,Other,73,Female,2023,6
CR04228,Murder,Saket,2022-10-30,01:40,Resolved,58,Other,66,Other,2022,10
CR00039,Robbery,Punjabi Bagh,2021-06-18,14:19,Reported,63,Male,65,Male,2021,6
CR03355,Assault,Chandni Chowk,2022-07-28,23:58,Closed,65,Male,64,Female,2022,7
CR04132,Burglary,Vasant Kunj,2020-01-22,20:51,Reported,25,Other,15,Other,2020,1
CR08643,Cybercrime,Punjabi Bagh,2023-07-04,13:38,Closed,21,Male,63,Female,2023,7
CR08854,Rape,Rohini,2022-10-20,13:46,Closed,60,Female,26,Other,2022,10
CR09864,Cybercrime,Rohini,2022-09-05,05:11,Under Investigation,50,Other,19,Male,2022,9
CR02199,Fraud,Connaught Place,2023-08-21,07:49,Closed,47,Other,20,Male,2023,8
CR01068,Theft,Lajpat Nagar,2022-09-30,02:52,Closed,18,Other,72,Female,2022,9
CR02183,Fraud,Rohini,2023-12-17,14:41,Under Investigation,24,Female,16,Other,2023,12
CR00014,Murder,Lajpat Nagar,2020-03-08,21:38,Closed,18,Female,21,Other,2020,3
CR08000,Kidnapping,Lajpat Nagar,2020-02-28,11:39,Resolved,32,Male,17,Female,2020,2
CR09345,Fraud,Connaught Place,2021-09-14,00:39,Closed,52,Female,46,Male,2021,9
CR08459,Burglary,Connaught Place,2020-08-28,21:09,Reported,68,Male,27,Male,2020,8
CR02254,Fraud,Rohini,2023-08-14,16:37,Reported,44,Female,21,Female,2023,8
CR07589,Robbery,Rohini,2021-05-26,02:43,Unresolved,52,Other,37,Male,2021,5
CR02020,Rape,Hauz Khas,2023-10-28,18:40,Closed,64,Male,46,Other,2023,10
CR02301,Cybercrime,Rohini,2022-08-24,20:24,Reported,28,Other,38,Other,2022,8
CR06536,Domestic Violence,Chandni Chowk,2021-07-06,21:16,Under Investigation,56,Other,49,Other,2021,7
CR01383,Cybercrime,Saket,2021-05-04,10:59,Resolved,72,Male,56,Other,2021,5
CR04022,Fraud,Chandni Chowk,2021-06-16,12:02,Under Investigation,65,Female,45,Female,2021,6
CR02613,Kidnapping,Saket,2021-07-23,11:13,Unresolved,60,Male,17,Other,2021,7
CR01121,Fraud,Chandni Chowk,2020-08-30,03:03,Reported,25,Female,35,Male,2020,8
CR05711,Kidnapping,Saket,2021-01-22,20:45,Unresolved,22,Other,44,Female,2021,1
CR09070,Domestic Violence,Saket,2020-03-17,17:38,Reported,40,Male,47,Other,2020,3
CR04170,Rape,Karol Bagh,2022-09-13,22:50,Unresolved,74,Male,23,Other,2022,9
CR00304,Burglary,Hauz Khas,2022-12-27,06:45,Unresolved,30,Female,72,Male,2022,12
CR01285,Theft,Saket,2023-10-14,04:44,Under Investigation,57,Other,15,Male,2023,10
CR03080,Murder,Hauz Khas,2021-06-28,20:45,Closed,56,Other,44,Female,2021,6
CR09281,Fraud,Lajpat Nagar,2020-12-16,18:40,Resolved,35,Other,65,Male,2020,12
CR00608,Murder,Chandni Chowk,2020-03-06,07:33,Under Investigation,65,Female,22,Female,2020,3
CR01688,Robbery,Connaught Place,2021-10-13,21:11,Unresolved,74,Male,29,Other,2021,10
CR08441,Robbery,Karol Bagh,2023-03-15,22:02,Resolved,36,Male,57,Male,2023,3
CR00852,Robbery,Rohini,2021-11-26,15:43,Under Investigation,31,Female,37,Male,2021,11
CR03465,Assault,Connaught Place,2020-12-19,21:40,Under Investigation,52,Other,52,Other,2020,12
CR02152,Robbery,Rohini,2023-07-06,14:18,Reported,57,Other,40,Male,2023,7
CR01921,Assault,Rohini,2020-12-08,22:31,Under Investigation,40,Female,70,Male,2020,12
CR01953,Domestic Violence,Connaught Place,2023-11-09,10:12,Unresolved,70,Female,33,Male,2023,11
CR01118,Rape,Connaught Place,2023-08-31,23:16,Under Investigation,36,Male,38,Other,2023,8
CR06837,Robbery,Dwarka,2021-12-06,03:27,Closed,70,Female,53,Female,2021,12
CR03314,Theft,Chandni Chowk,2020-10-12,08:10,Closed,30,Male,73,Other,2020,10
CR09653,Kidnapping,Hauz Khas,2020-09-11,04:57,Resolved,46,Female,28,Female,2020,9
CR08301,Robbery,Connaught Place,2022-07-03,23:22,Closed,49,Male,52,Other,2022,7
CR03582,Kidnapping,Chandni Chowk,2020-12-28,03:46,Under Investigation,49,Female,31,Other,2020,12
CR09305,Fraud,Vasant Kunj,2023-11-05,23:13,Closed,30,Male,62,Male,2023,11
CR06971,Domestic Violence,Dwarka,2021-05-17,20:29,Unresolved,48,Male,55,Male,2021,5
CR03746,Cybercrime,Saket,2021-04-13,03:51,Resolved,16,Female,46,Other,2021,4
CR07354,Burglary,Punjabi Bagh,2021-03-02,02:28,Unresolved,23,Male,73,Other,2021,3
CR01149,Fraud,Karol Bagh,2020-07-14,19:33,Unresolved,54,Female,42,Male,2020,7
CR01516,Assault,Rohini,2021-11-29,19:37,Unresolved,19,Male,56,Other,2021,11
CR08964,Burglary,Dwarka,2023-12-27,19:36,Unresolved,15,Other,47,Female,2023,12
CR03254,Fraud,Rohini,2022-09-14,10:33,Reported,47,Male,41,Male,2022,9
CR02894,Rape,Chandni Chowk,2023-10-07,01:58,Reported,30,Female,55,Male,2023,10
CR03570,Cybercrime,Vasant Kunj,2022-09-24,18:58,Reported,49,Female,42,Other,2022,9
CR06211,Burglary,Saket,2022-03-22,11:46,Closed,24,Other,23,Other,2022,3
CR02210,Kidnapping,Lajpat Nagar,2023-11-19,13:22,Unresolved,44,Female,44,Other,2023,11
CR05438,Theft,Rohini,2021-11-09,09:06,Closed,37,Female,20,Female,2021,11
CR08307,Murder,Chandni Chowk,2020-06-10,22:27,Unresolved,22,Male,20,Other,2020,6
CR09870,Murder,Connaught Place,2020-05-07,10:36,Under Investigation,45,Other,19,Other,2020,5
CR08827,Rape,Lajpat Nagar,2023-06-02,07:21,Unresolved,49,Male,20,Male,2023,6
CR08674,Assault,Karol Bagh,2021-12-09,21:55,Resolved,45,Male,50,Female,2021,12
CR09228,Domestic Violence,Vasant Kunj,2023-02-16,20:35,Reported,18,Other,54,Male,2023,2
CR08843,Fraud,Hauz Khas,2022-07-10,01:59,Closed,31,Male,64,Male,2022,7
CR00367,Fraud,Vasant Kunj,2022-12-01,13:43,Resolved,65,Female,44,Female,2022,12
CR07157,Kidnapping,Karol Bagh,2023-03-24,07:30,Under Investigation,17,Female,22,Female,2023,3
CR08543,Theft,Lajpat Nagar,2023-04-23,20:52,Under Investigation,74,Male,35,Male,2023,4
CR01626,Domestic Violence,Saket,2021-06-30,04:27,Reported,63,Female,15,Other,2021,6
CR07243,Cybercrime,Karol Bagh,2023-01-24,19:29,Reported,54,Other,17,Female,2023,1
CR03693,Fraud,Dwarka,2022-06-30,21:29,Closed,44,Other,56,Female,2022,6
CR07735,Burglary,Dwarka,2020-06-11,19:55,Closed,39,Other,66,Male,2020,6
CR07318,Kidnapping,Saket,2022-03-21,18:52,Closed,41,Other,15,Female,2022,3
CR06347,Burglary,Dwarka,2023-09-07,14:57,Resolved,33,Female,56,Other,2023,9
CR04865,Rape,Saket,2020-07-27,12:49,Under Investigation,18,Male,19,Female,2020,7
CR05397,Fraud,Vasant Kunj,2023-07-24,06:21,Reported,17,Female,45,Other,2023,7
CR02992,Theft,Punjabi Bagh,2022-06-26,08:14,Resolved,38,Male,62,Female,2022,6
